epsilon,accuracy_perturb_pos,accuracy_perturb_vel,accuracy_perturb_pos_vel
0.0,0.9666245286576169,0.9666245286576169,0.9666245286576169
0.1,0.9598230580693816,0.9555453431372549,0.9357536764705883
0.2,0.9398001508295626,0.891456919306184,0.8137726244343891
0.3,0.9157616892911011,0.8461149604072398,0.7562641402714932
0.4,0.9036658653846155,0.8103235765460031,0.7447386406485671
0.5,0.9136267911010558,0.7911870757918552,0.7625698058069381
0.6,0.9203260275263951,0.7506198152337858,0.7701640271493213
0.7,0.9270518005279036,0.7279482466063348,0.7960065516591251
0.8,0.9328201357466064,0.7102399132730015,0.8183885275263951
0.9,0.9252388763197588,0.6872831825037707,0.8492614536199095
1.0,0.9170734351432881,0.6712905354449472,0.8639817590497738
1.1,0.9054180335595776,0.6588211726998492,0.8835822492458522
1.2,0.881131504524887,0.6458003393665158,0.8879881221719457
1.3,0.8591012443438915,0.6412966628959276,0.8895944570135746
1.4,0.8231572398190046,0.6330092854449472,0.882480722096531
1.5,0.791898048642534,0.6305656579939669,0.859933399321267
1.6,0.7496174113876319,0.6234504619155354,0.8449859539969834
1.7,0.7201223133484163,0.6174455599547511,0.8287258201357466
1.8,0.6848116515837104,0.6142819570135747,0.7884024321266968
1.9,0.6640175339366516,0.6136924962292609,0.7549108691553545
2.0,0.646517156862745,0.6086833050527903,0.7390049490950227
2.1,0.6246780731523379,0.6084382070135747,0.6945658465309201
2.2,0.5938876319758674,0.6037047511312217,0.6549506504524887
2.3,0.5822622549019608,0.6039265648567119,0.6193569004524887
2.4,0.5719748774509804,0.5987108785822021,0.604946455505279
2.5,0.5639871323529412,0.5962598981900453,0.5780237085218702
2.6,0.5454129901960784,0.5944888291855204,0.5565398755656109
2.7,0.5430992647058823,0.5939467854449472,0.5490888480392156
2.8,0.5356544117647059,0.5892439668174962,0.5336907051282052
2.9,0.5317481617647059,0.5900098981900452,0.5343508672699849
3.0,0.5207493872549019,0.5914345305429864,0.5153112745098039
3.1,0.5241348039215686,0.590077064479638,0.514007730015083
3.2,0.5215612745098039,0.5858585501508295,0.5112285539215686
3.3,0.5143535539215686,0.5829173736802413,0.5074646021870287
3.4,0.5135723039215686,0.580006834464555,0.5041666666666667
3.5,0.5104473039215686,0.5739100207390648,0.5061354166666666
3.6,0.5096354166666667,0.5754725207390649,0.5030104166666667
3.7,0.5071770833333333,0.5729296285822021,0.500811887254902
3.8,0.5057291666666667,0.5707390648567119,0.5026041666666666
3.9,0.5039368872549019,0.5639741233031674,0.5020833333333333
4.0,0.5026348039215686,0.5579326923076923,0.5002604166666667
