cd_upper,class_acc
0.1,0.9701848475839049
0.2,0.9720304232804232
0.3,0.9278762736899993
0.4,0.9228422926932786
0.5,0.928948694773186
0.6,0.9133696189058653
0.7,0.9028303478236036
0.8,0.9057859795502115
0.9,0.8884869591866451
1.0,0.8886213208966482
1.1,0.8868716305037938
1.2,0.8780314953078131
1.3,0.881626605525328
1.4,0.8762565165022721
1.5,0.8889852171941598
1.6,0.8650785163018313
1.7,0.8644227582122233
1.8,0.8583613098030712
1.9,0.8706454955401501
2.0,0.8531350613039483
2.1,0.8536530516358092
2.2,0.8502306485660116
2.3,0.8449042341406301
2.4,0.8375999940945963
2.5,0.8283355326560433
2.6,0.8265600913836919
2.7,0.8032125866834935
2.8,0.796552109250221
2.9,0.8019154063148155
3.0,0.7816852471006168
3.1,0.7879844540346014
3.2,0.7892763230300786
3.3,0.7649111584107435
3.4,0.7572001234671756
3.5,0.7485507942121833
3.6,0.7580998114681461
3.7,0.7451105324419586
3.8,0.7341408691555947
3.9,0.7128351065466833
4.0,0.7342107948129999
4.1,0.722770540821557
4.2,0.7054702908537429
4.3,0.7010703520647155
4.4,0.7069396988342168
4.5,0.6878544710936351
4.6,0.6824700752239788
4.7,0.6655347049464697
4.8,0.6637756984780474
4.9,0.6553352094528564
5.1,0.6132181345890072
