cd_upper,class_acc
0.1,0.9462356923234478
0.2,0.9277462206484348
0.3,0.9046715221190874
0.4,0.8915929996618981
0.5,0.8773981405195403
0.6,0.8611064357034681
0.7,0.8484355483150054
0.8,0.8324995536703851
0.9,0.827423520107879
1.0,0.8071918796647332
1.1,0.7968830079004026
1.2,0.7909841350413431
1.3,0.7737160207760404
1.4,0.7609634723311127
1.5,0.7484284646427881
1.6,0.7357215175362188
1.7,0.7245480501503743
1.8,0.7123027203977368
1.9,0.7079682120222129
2.0,0.6902086959388154
2.1,0.6912363200049896
2.2,0.6690233553873104
2.3,0.6704322609276565
2.4,0.6625924590715282
2.5,0.6550907344544573
2.6,0.6475951317573504
2.7,0.6335329531147209
2.8,0.6397563997526627
2.9,0.6290572039960122
3.0,0.6273373515090561
3.1,0.6226161045435175
3.2,0.6254527702689469
3.3,0.6084486027495896
3.4,0.5991279158904768
3.5,0.5889943400145606
3.6,0.599193276301442
3.7,0.6034993305305807
3.8,0.5976339285714287
3.9,0.6088429972804974
4.0,0.6028598137973138
4.1,0.5595693542568544
4.2,0.5963392857142856
4.3,0.5555605158730159
4.4,0.5579441391941392
4.5,0.5725099206349207
4.6,0.5812251984126984
4.7,0.5721875
4.8,0.5315277777777777
4.9,0.5952083333333333
5.1,0.5668153610221005
