epsilon,accuracy_perturb_pos,accuracy_perturb_vel,accuracy_perturb_pos_vel
0.0,0.970257117269985,0.970257117269985,0.970257117269985
0.1,0.9609704939668176,0.9632364724736049,0.9434542326546003
0.2,0.9428179204374058,0.9323246606334842,0.8933375754147812
0.3,0.9333686840120664,0.8946314102564102,0.8616633672699849
0.4,0.9317428355957769,0.8621677036199096,0.8624434389140272
0.5,0.9422139894419307,0.8202582956259427,0.8592500942684766
0.6,0.9417626791101057,0.7933458239064857,0.8638586444193062
0.7,0.9412453808446456,0.7520562311463047,0.8615419966063349
0.8,0.9375191365007542,0.7169706825037707,0.8583191930618401
0.9,0.938032004147813,0.6849606429110106,0.8440363404977376
1.0,0.9333671757164405,0.6681101527149321,0.849432032428356
1.1,0.9241547888386124,0.6451322115384616,0.8524880750377074
1.2,0.9159746417797889,0.6334959464555052,0.8522594739819005
1.3,0.8989170437405731,0.6237686180241327,0.8687276112368024
1.4,0.8735175339366517,0.6108243778280543,0.8779049302413273
1.5,0.8472080976621418,0.6052330788084465,0.8831565328054298
1.6,0.8236406957013576,0.6020161670437406,0.8958748585972851
1.7,0.8016112839366516,0.5948164121417798,0.8895850301659126
1.8,0.759759568250377,0.5863911670437406,0.8907557032428356
1.9,0.7343167892156862,0.5877698435143288,0.8877072963800905
2.0,0.70433677413273,0.5834806278280543,0.8719591346153847
2.1,0.6765095682503771,0.5780425150829562,0.8743741987179487
2.2,0.6643925339366517,0.5723746229260935,0.8681662895927602
2.3,0.6440873868778281,0.5720682503770739,0.8468869249622926
2.4,0.6291184012066365,0.5703066082202112,0.8359161481900452
2.5,0.6081354166666667,0.5663237650829562,0.8254455599547512
2.6,0.5965837104072399,0.5653280542986425,0.8028357843137254
2.7,0.5854391025641026,0.5644855297888386,0.793170060331825
2.8,0.5731623774509804,0.560272907239819,0.7726758107088989
2.9,0.5658153280542987,0.5614218042986425,0.7642101715686274
3.0,0.5567334558823529,0.5588176376319759,0.750089649321267
3.1,0.5508817401960784,0.5566730297888386,0.7398927224736048
3.2,0.5410984162895928,0.5554475395927602,0.7309531485671192
3.3,0.5380055147058823,0.5552177601809954,0.722409125188537
3.4,0.5302469362745098,0.5522306278280543,0.7046460218702865
3.5,0.5278192401960784,0.5526901866515836,0.7029338706636501
3.6,0.5260189950980392,0.5513115101809954,0.6905826263197586
3.7,0.5217604166666666,0.5499387254901961,0.6857195512820512
3.8,0.5186966911764705,0.5477116327300151,0.6727184200603318
3.9,0.5144767156862745,0.5494732748868778,0.6636100584464556
4.0,0.5160925245098039,0.5476350395927602,0.659356806184012
