cd_upper,class_acc
0.1,0.9510429154179155
0.2,0.9680112671085366
0.3,0.9640436906204259
0.4,0.9553672316517936
0.5,0.9634438947149002
0.6,0.9626767568757885
0.7,0.9535024098424811
0.8,0.950422507377078
0.9,0.9548250500811062
1.0,0.9425492081715994
1.1,0.9413690937071113
1.2,0.9513559558832876
1.3,0.9472083154519438
1.4,0.9429852773925875
1.5,0.9492151635518902
1.6,0.946060293596787
1.7,0.9434123556870879
1.8,0.9264473798516357
1.9,0.9217107048876088
2.0,0.9253069059323703
2.1,0.9235512137216348
2.2,0.9343307178181199
2.3,0.9216777227843576
2.4,0.9166816959457067
2.5,0.9131283808403617
2.6,0.9281768251876947
2.7,0.9390369655980711
2.8,0.9006590706111167
2.9,0.9224437185621397
3.0,0.9268683435113457
3.1,0.9257414458158166
3.2,0.948858602697612
3.3,0.939952485380117
3.4,0.9362146187146188
3.5,0.9319303613053613
3.6,0.91302398989899
3.7,0.9022799422799423
3.8,0.8773455710955712
3.9,0.9595629370629372
4.0,0.9099404761904764
4.1,0.9232142857142858
4.2,0.9039880952380953
4.3,0.900436507936508
4.4,0.904107142857143
4.5,0.8719642857142859
4.6,0.9275
4.7,0.9233333333333335
4.8,0.9007142857142858
4.9,0.895357142857143
5.1,0.845337393485174
