epsilon,accuracy_perturb_pos,accuracy_perturb_vel,accuracy_perturb_pos_vel
0.0,0.9609333521870287,0.9609333521870287,0.9609333521870287
0.1,0.9585954939668175,0.9549903374811463,0.9479461255656108
0.2,0.9473675527903469,0.8246724170437405,0.771210407239819
0.3,0.9345378959276018,0.6842006033182504,0.6463635935143288
0.4,0.9266511595022624,0.6197857748868778,0.6080552413273002
0.5,0.9304516402714933,0.5948164121417798,0.5908335690045249
0.6,0.935618165535445,0.5770468042986425,0.5863145739064857
0.7,0.9370080128205129,0.5655578337104072,0.5865749905731523
0.8,0.9396943815987935,0.5619579562594268,0.5935025452488687
0.9,0.9333751414027149,0.558741044494721,0.5959747360482655
1.0,0.9333577488687783,0.5545284219457014,0.6114232654600302
1.1,0.9222903469079939,0.5538390837104072,0.6169721436651584
1.2,0.911032004147813,0.5518476621417798,0.6258038744343891
1.3,0.8808929110105581,0.549396681749623,0.6359701640271493
1.4,0.8529505090497738,0.5480945984162896,0.6298010935143288
1.5,0.8265718325791855,0.5466852846907995,0.6474260935143288
1.6,0.7880062688536953,0.5461491327300151,0.6431990007541478
1.7,0.7558059012066365,0.5455670248868778,0.6621186840120663
1.8,0.728257117269985,0.5450461915535445,0.6455606617647058
1.9,0.6879613970588235,0.5445866327300151,0.6540156485671191
2.0,0.6599427790346908,0.543851338612368,0.649627121040724
2.1,0.6508210784313726,0.5445253582202112,0.6337022530165912
2.2,0.613141072775264,0.5442189856711915,0.6348558163650075
2.3,0.5985998774509804,0.5433305052790347,0.6227057880844645
2.4,0.5744724264705883,0.5440351621417798,0.6364572492458522
2.5,0.5708419117647059,0.542953431372549,0.6262953902714932
2.6,0.5608927696078432,0.5450155542986426,0.6247125282805429
2.7,0.5456427696078431,0.5440716911764706,0.6216307975113122
2.8,0.5375925245098039,0.5431219362745098,0.6115758861236802
2.9,0.5294883578431372,0.5420496323529411,0.614027479260935
3.0,0.5249160539215686,0.5422794117647058,0.6167715874811464
3.1,0.5221660539215686,0.5445866327300151,0.6051164687028658
3.2,0.5153952205882353,0.5437747454751132,0.6120228129713424
3.3,0.5146452205882353,0.5442401960784313,0.6259044117647059
3.4,0.5115202205882353,0.5412990196078431,0.6084011123680242
3.5,0.5104166666666666,0.5444334464555053,0.6123197586726998
3.6,0.5092910539215686,0.5438265931372549,0.6118981900452488
3.7,0.5065104166666666,0.544607843137255,0.6169059200603318
3.8,0.504718137254902,0.5447763480392157,0.6164101150075414
3.9,0.5048312594268477,0.5444334464555053,0.6078204656862745
4.0,0.5059895833333333,0.5440045248868778,0.6135788084464555
