epsilon,accuracy_perturb_pos,accuracy_perturb_vel,accuracy_perturb_pos_vel
0.0,0.9499498963046757,0.9499498963046757,0.9499498963046757
0.1,0.9341949943438914,0.9263309294871795,0.9320824849170438
0.2,0.9339790723981901,0.9343802790346909,0.937945984162896
0.3,0.9290437877073906,0.9342998680241328,0.9299847285067874
0.4,0.9307747926093514,0.9319372643288084,0.9236042138009051
0.5,0.9351023284313725,0.9334384898190045,0.9323166949472097
0.6,0.9326200980392156,0.9277204939668175,0.9318627450980392
0.7,0.9319351904223228,0.9321517251131222,0.9334293457767722
0.8,0.9329662518853696,0.92937137066365,0.9311845776772247
0.9,0.9346822209653092,0.9332593797134239,0.9297658371040725
1.0,0.9259411764705883,0.9261718514328809,0.9322943061840121
1.1,0.931533371040724,0.9356027997737557,0.9297584841628959
1.2,0.938773190045249,0.9314835972850679,0.9323219739819004
1.3,0.9338839083710407,0.9370572209653092,0.9290626414027148
1.4,0.9366830693815987,0.9268882918552036,0.932462528280543
1.5,0.9309326923076923,0.9293584087481146,0.9363569947209653
1.6,0.9310620286576169,0.9284973604826545,0.9340503393665158
1.7,0.9310605674962293,0.9308396021870287,0.9326507352941176
1.8,0.9302377450980392,0.9354275546757165,0.9304637066365007
1.9,0.9319066270739065,0.9287444852941176,0.9353562405731524
2.0,0.9315557598039216,0.930081919306184,0.9332028186274509
2.1,0.9301982937405732,0.9310311085972851,0.9349081825037708
2.2,0.9304089366515838,0.9317345871040725,0.9328540252639518
2.3,0.9321861802413274,0.9338585501508296,0.929083286199095
2.4,0.9287171003016592,0.9279393853695325,0.9350870098039216
2.5,0.9350790441176471,0.9299231711915535,0.9285002828054298
2.6,0.9324259992458521,0.9320768759426847,0.9301311274509804
2.7,0.9321652526395172,0.9305482654600301,0.9347040441176471
2.8,0.9336376319758674,0.9308219268476621,0.9355948812217194
2.9,0.929925810708899,0.9261235388386124,0.9321525735294117
3.0,0.9354369815233786,0.9375271021870286,0.9303281957013574
3.1,0.9304646021870286,0.9364877922322776,0.9276680335595777
3.2,0.9288599641779789,0.9310797039969835,0.9275281391402715
3.3,0.9340043834841629,0.9297030542986425,0.9304295343137254
3.4,0.9314558823529411,0.9283706636500754,0.9310891308446455
3.5,0.9305211632730015,0.937428403092006,0.9312408559577677
3.6,0.9331621417797888,0.9335625,0.9287627733785823
3.7,0.931203431372549,0.934110435520362,0.9341207579185521
3.8,0.927926423453997,0.9297404788838612,0.9283697680995475
3.9,0.9347682409502263,0.9330425622171945,0.9337333616138763
4.0,0.9311633672699849,0.9364868966817497,0.928926282051282
