epsilon,accuracy_perturb_pos,accuracy_perturb_vel,accuracy_perturb_pos_vel
0.0,0.9345620286576168,0.9345620286576168,0.9345620286576168
0.1,0.9408886217948718,0.9374572492458522,0.9446496512066366
0.2,0.9476980580693817,0.9374419306184012,0.9372486802413272
0.3,0.9518420531674208,0.9373697680995476,0.9252895456259427
0.4,0.9434321266968326,0.9313934294871795,0.9131427696078431
0.5,0.9375877639517346,0.9322550904977376,0.90284012066365
0.6,0.9358626508295627,0.9333757070135746,0.8982457107843137
0.7,0.9372799302413273,0.9287100301659126,0.89122209653092
0.8,0.9358166949472098,0.9220485011312217,0.8884326451734541
0.9,0.9315852187028658,0.9163876791101055,0.8918401677978884
1.0,0.9321649698340875,0.9101285350678734,0.8824651677978883
1.1,0.9362747926093515,0.9015483597285068,0.8778127356711916
1.2,0.934125754147813,0.8897353412518854,0.8776807598039216
1.3,0.9378941365007541,0.8788437971342382,0.8814844928355958
1.4,0.9373026018099547,0.8654187877073907,0.8795440233785822
1.5,0.9344168080693818,0.8543239536199095,0.8838026018099547
1.6,0.9375748020361991,0.8477705505279034,0.8793398849924585
1.7,0.9375052790346908,0.8354543740573153,0.878409266591252
1.8,0.9364615384615385,0.8295142816742082,0.883431419683258
1.9,0.9291298076923077,0.813499245852187,0.8768326263197588
2.0,0.9329476809954751,0.8013303638763198,0.8753823529411765
2.1,0.9203690139517344,0.8080092854449472,0.8625924773755655
2.2,0.9144495192307693,0.7800645739064856,0.8476184954751131
2.3,0.8999648378582203,0.7757847850678733,0.8280421380090498
2.4,0.8875193721719459,0.7595376131221719,0.817124387254902
2.5,0.8636223133484163,0.7557845493966817,0.7936364536199094
2.6,0.8563753770739065,0.7409101621417797,0.7760186180241327
2.7,0.8374562594268478,0.7254536670437406,0.7444695041478129
2.8,0.8092926564856713,0.7146233974358974,0.7255466157616893
2.9,0.7815759803921569,0.7012561274509804,0.6989563536953243
3.0,0.7622417986425339,0.6995039121417798,0.6746070889894419
3.1,0.7367745098039216,0.6957873774509804,0.6561219362745098
3.2,0.7062444852941177,0.6715014611613876,0.6347998208898944
3.3,0.685142156862745,0.671164451357466,0.6086400358220212
3.4,0.6584656862745097,0.6542680052790347,0.5957414687028658
3.5,0.6395098039215686,0.6488546380090497,0.5815985576923076
3.6,0.6285098039215686,0.6169270833333333,0.568393052413273
3.7,0.5964773284313726,0.6241115196078432,0.5577123868778281
3.8,0.5798946078431373,0.6195100395927602,0.5478059012066365
3.9,0.572718137254902,0.6001838235294118,0.5326790629713424
4.0,0.5589160539215686,0.5916207107843137,0.5325659407993968
