epsilon,accuracy_perturb_pos,accuracy_perturb_vel,accuracy_perturb_pos_vel
0.0,0.9417617835595777,0.9417617835595777,0.9417617835595777
0.1,0.9551202394419307,0.9512593325791856,0.9576734539969833
0.2,0.9528451168929111,0.9498865478883861,0.9279977375565611
0.3,0.9405100867269984,0.9457207767722473,0.8852799773755655
0.4,0.9237960030165913,0.9412913367269985,0.8638238593514329
0.5,0.9187941647812972,0.9435817779034691,0.852328714177979
0.6,0.912403374811463,0.9359053544494721,0.8460943156108598
0.7,0.9163054769984917,0.9413149038461539,0.8593979543740573
0.8,0.9176225961538462,0.9347723887631976,0.8526418740573152
0.9,0.9181434294871795,0.9334046003016592,0.8644162895927602
1.0,0.9261208993212671,0.9304115761689291,0.8646036481900452
1.1,0.9296185426093515,0.9335268665158372,0.8679869909502264
1.2,0.9333621794871795,0.9258050999245853,0.8797299208144795
1.3,0.9409988216440422,0.9180432692307692,0.8847662141779788
1.4,0.9385068815987934,0.9138000094268477,0.8920690516591252
1.5,0.9364447586726998,0.8991671851432881,0.8930739064856712
1.6,0.9402225678733032,0.8983187688536953,0.9032572586726999
1.7,0.9381560143288085,0.8889104920814479,0.896276395173454
1.8,0.9310941270739065,0.8798135840874812,0.8956848604826546
1.9,0.9322736613876319,0.868937358597285,0.8978969174208145
2.0,0.9299758672699849,0.8621028940422323,0.8862880373303168
2.1,0.9196796757164404,0.8455517062594269,0.8662212009803921
2.2,0.909678685897436,0.8365290346907994,0.8575600018853695
2.3,0.9011149604072399,0.8260817307692307,0.8347973699095024
2.4,0.881568391779789,0.8081742552790346,0.8014984445701356
2.5,0.8773551564856712,0.80298270173454,0.7908897058823529
2.6,0.8612013574660634,0.7929416478129714,0.7653550150829562
2.7,0.8340408182503771,0.7800798925339367,0.745135935143288
2.8,0.8099039404223227,0.7659349076168929,0.7110914404223228
2.9,0.7833768382352941,0.7595894607843137,0.7017317119155355
3.0,0.7568104260935145,0.7405790441176471,0.6610498208898943
3.1,0.7414844457013575,0.7274910444947209,0.6397636689291101
3.2,0.7064188819758673,0.7217771964555053,0.6247343514328809
3.3,0.6895085784313726,0.710998774509804,0.6153133955505279
3.4,0.6688823529411765,0.7065811180241327,0.5944429204374058
3.5,0.6434975490196079,0.6809836915535445,0.5809799208144797
3.6,0.6274148284313725,0.665006363122172,0.563616798642534
3.7,0.6043204656862745,0.6595741421568627,0.5588927696078432
3.8,0.5910398284313726,0.6488357843137256,0.545408842383107
3.9,0.571561887254902,0.6363051470588235,0.5356794400452488
4.0,0.5530716911764706,0.6232536764705883,0.5345821078431372
