cd_lower,mIoU
0.0,0.8204849273537368
0.5,0.6924465993367007
1.0,0.6487250774313856
1.5,0.601472619272072
2.0,0.5833899678713005
2.5,0.5642198983155985
3.0,0.5510926279965825
3.5,0.5184269632899383
4.0,0.4848653942854291
