epsilon,accuracy_perturb_pos,accuracy_perturb_vel,accuracy_perturb_pos_vel
0.0,0.957806891025641,0.9569396210407239,0.9575464743589743
0.1,0.9561998963046757,0.9631766591251886,0.9557058823529412
0.2,0.9485005184766214,0.930438112745098,0.9005844645550527
0.3,0.9373850867269986,0.8601267911010557,0.8032180901206636
0.4,0.923817213423831,0.773818108974359,0.7307268099547511
0.5,0.9182968985671192,0.7212292609351433,0.694262584841629
0.6,0.9134241138763197,0.6916949472096531,0.6805123491704375
0.7,0.9124216157616893,0.6528681184012066,0.6810025452488688
0.8,0.9169632824283559,0.6398166478129714,0.6858338046757164
0.9,0.9091310803167421,0.6249116233031674,0.6858623680241328
1.0,0.9134208616138764,0.6132694664404224,0.7056175056561086
1.1,0.9014030920060332,0.6035421380090498,0.7113298925339366
1.2,0.9017000377073907,0.5973380938914027,0.726521540346908
1.3,0.8981829279788839,0.5921297605580694,0.7360671191553545
1.4,0.8910877639517345,0.586084794494721,0.7607966628959276
1.5,0.8741141119909502,0.583781108597285,0.7707128110859729
1.6,0.8593142439668175,0.5800280448717948,0.781785209276018
1.7,0.8381919306184011,0.5761983880090498,0.7794677130467571
1.8,0.8276529977375566,0.5731405542986425,0.7956223604826546
1.9,0.8169829845399699,0.5698529411764706,0.8065298359728508
2.0,0.798414734162896,0.5699295343137255,0.8153907428355958
2.1,0.7718404506033183,0.5655519419306184,0.8136426753393665
2.2,0.7590891308446457,0.5617281768476622,0.8150834747360483
2.3,0.7351825980392157,0.5602787990196079,0.8149553167420814
2.4,0.7112033371040725,0.5598958333333334,0.8306987650829563
2.5,0.703304298642534,0.557827818627451,0.8231425339366516
2.6,0.6890328525641025,0.5582107843137255,0.8226544117647059
2.7,0.6725126319758673,0.5540747549019608,0.8151512066365008
2.8,0.6522881315987933,0.554068863122172,0.8202137066365007
2.9,0.6431347096530919,0.5509344362745098,0.8287270456259428
3.0,0.6292562688536953,0.5489889705882354,0.8270045720211161
3.1,0.616768665158371,0.551547181372549,0.8188503487933636
3.2,0.6094295343137255,0.5481770833333334,0.8088077865761689
3.3,0.605852092760181,0.5454197303921569,0.8243832956259427
3.4,0.5920473227752641,0.5469515931372549,0.8117286481900452
3.5,0.5823951263197586,0.5447763480392157,0.814235294117647
3.6,0.5677587198340874,0.5449601715686274,0.8128091063348416
3.7,0.566483455882353,0.5444240196078431,0.7965078242835596
3.8,0.5626355580693817,0.5439338235294118,0.816184012066365
3.9,0.5566153374811463,0.5428862650829562,0.7897991138763197
4.0,0.5555232843137254,0.5424726621417798,0.7960225773001508
